#             Z            ion           name        E(cm-1)           E(K)          E(eV)            pqn
             28              9            NiX      1560000.0   2.228912e+06   1.934104e+02              3
             28             10           NiXI      1812000.0   2.588967e+06   2.246536e+02              3
             28             11          NiXII      2589000.0   3.699137e+06   3.209868e+02              3
             28             12         NiXIII      2840000.0   4.057764e+06   3.521060e+02              3
             28             13          NiXIV      3100000.0   4.429249e+06   3.843411e+02              3
             28             14           NiXV      3470000.0   4.957901e+06   4.302141e+02              3
             28             15          NiXVI      3740000.0   5.343675e+06   4.636889e+02              3
             28             16         NiXVII      4020000.0   5.743736e+06   4.984036e+02              3
             28             17        NiXVIII      4606000.0   6.581007e+06   5.710565e+02              3
             28             18          NiXIX      4896200.0   6.995642e+06   6.070358e+02              3
             28             19           NiXX     12430000.0   1.775986e+07   1.541084e+03              2
             28             20          NiXXI     13290000.0   1.898862e+07   1.647707e+03              2
             28             21         NiXXII     14160000.0   2.023167e+07   1.755571e+03              2
             28             22        NiXXIII     15280000.0   2.183191e+07   1.894430e+03              2
             28             23         NiXXIV     16220000.0   2.317497e+07   2.010972e+03              2
             28             24          NiXXV     17190000.0   2.456090e+07   2.131233e+03              2
             28             25         NiXXVI     18510000.0   2.644690e+07   2.294888e+03              2
             28             26        NiXXVII     19351000.0   2.764852e+07   2.399156e+03              2
             28             27       NiXXVIII     82984000.0   1.185667e+08   1.028844e+04              1
             28             28         NiXXIX     86909400.0   1.241753e+08   1.077511e+04              1
             29              1           CuII       62317.44   8.903854e+04   7.726179e+00              4
